,Date,Sales,Revenue,Revenue Goal,Margin,Margin Goal,Customers
0,1/1/2017,685,84383.56,68324.8,4.89,5.27,2241
1,2/1/2017,601,76073.76,71797.32,5.96,5.69,2109
2,3/1/2017,541,70816.72,72114.42,5.98,5.56,1805
3,4/1/2017,630,79887.68,71581.37,5.37,5.72,2090
4,5/1/2017,700,85616.73,67972.77,5.95,5.6,2627
5,6/1/2017,656,83865.13,71854.13,5.24,5.56,2624
6,7/1/2017,612,76305.59,56653.91,5.18,5.65,2358
7,8/1/2017,627,81033.24,74784.21,5.92,5.62,2625
8,9/1/2017,716,87275.75,62229.12,5.54,5.03,2567
9,10/1/2017,635,72813.1,79212.01,6.14,5.58,2167
10,11/1/2017,697,86737.39,75697.9,6.42,5.47,2650
11,12/1/2017,527,66610.13,74469.83,5.37,5.84,1529
12,13/01/2017,660,82608.19,77915.92,5.88,5.75,2023
13,14/01/2017,563,71142.53,58003.64,5.36,5.46,2329
14,15/01/2017,657,84514.29,62622.52,6.23,5.58,2482
15,16/01/2017,495,64239.99,57565.44,5.48,5.59,1823
16,17/01/2017,542,68371.81,73495.65,5.14,5.51,1926
17,18/01/2017,803,101142.62,68753.12,5.92,5.31,2815
18,19/01/2017,511,64535.85,64378.55,5.83,5.48,1803
19,20/01/2017,617,77324.46,69413.52,5.84,5.86,2231
20,21/01/2017,635,81611.29,70258.39,5.53,5.66,2486
21,22/01/2017,542,69550.73,65620.8,5.44,5.65,2261
22,23/01/2017,746,91792.33,69161.2,5.74,5.53,2900
23,24/01/2017,625,78458.45,66572.04,5.96,5.65,2208
24,25/01/2017,637,79750.3,67144.32,5.58,5.51,2206
25,26/01/2017,480,64421.49,71567.39,5.92,5.69,2076
26,27/01/2017,585,74265.13,80408.26,4.84,5.73,2085
27,28/01/2017,587,74183.38,77265.74,4.45,5.85,1926
28,29/01/2017,499,64116.23,77636.41,5.44,5.68,2240
29,30/01/2017,630,73330.27,61410.64,4.8,5.66,2284
30,31/01/2017,680,86981.67,71346.21,5.69,5.64,2292
31,1/2/2017,552,70253.1,64673.55,5.37,5.42,2459
32,2/2/2017,613,76980.56,67512.23,6.17,5.61,2343
33,3/2/2017,542,66883.6,60028.45,5.55,5.49,2068
34,4/2/2017,668,82734.09,57993.57,5.91,5.86,2410
35,5/2/2017,710,87318.05,54334.81,5.48,5.49,2492
36,6/2/2017,765,93482.57,65224.54,5.25,5.08,2711
37,7/2/2017,562,70087.17,62034.84,5.64,5.62,2334
38,8/2/2017,630,79506.55,76753.77,6.13,5.86,2341
39,9/2/2017,656,81836.88,78701.08,5.15,5.25,2342
40,10/2/2017,697,87580.59,71463.44,5.34,5.69,2504
41,11/2/2017,729,89622.31,66863.46,5.49,5.62,2801
42,12/2/2017,679,86390.03,71531.96,5.27,5.82,2971
43,13/02/2017,587,67817.87,65681.96,5.03,5.7,2165
44,14/02/2017,655,82324.64,58727.94,6.38,5.21,2524
45,15/02/2017,749,86829.25,63222.67,6.24,5.44,3021
46,16/02/2017,803,97353.08,58533.47,5.05,5.57,3071
47,17/02/2017,635,81857.16,75975.67,6.4,5.52,2242
48,18/02/2017,564,70824.78,70877.53,5.59,5.7,2087
49,19/02/2017,627,79167.18,68494.87,5.66,5.75,2268
50,20/02/2017,583,72792.05,59736.76,5.1,5.57,2028
51,21/02/2017,595,75634.59,71118.7,5.64,5.5,2123
52,22/02/2017,582,73771.86,62546.99,5.19,5.54,2257
53,23/02/2017,509,64730.19,66580.65,5.17,5.55,1957
54,24/02/2017,617,75782.35,78227.76,6.42,5.51,2134
55,25/02/2017,588,72174.57,70093.46,4.84,5.6,2359
56,26/02/2017,573,72209.2,65793.31,5.29,5.37,2224
57,27/02/2017,533,68246.52,77666.72,5.07,5.21,2228
58,28/02/2017,595,70991.79,71401.58,5.74,5.4,2663
59,1/3/2017,535,68125.59,62887.04,6,5.34,1943
60,2/3/2017,554,69833.08,71889.81,5.82,5.68,2197
61,3/3/2017,521,63493.17,55417.86,5.03,5.47,2029
62,4/3/2017,594,76423.18,73425.42,5.27,5.37,1929
63,5/3/2017,531,67969.64,76483.13,5.93,5.67,1890
64,6/3/2017,541,69002.17,74805.71,5.38,5.66,2029
65,7/3/2017,690,85212.7,69638.11,5.82,5.47,2431
66,8/3/2017,639,77474.81,67907.61,6.21,5.55,2238
67,9/3/2017,518,66600.59,55743.99,5.87,5.6,1603
68,10/3/2017,542,66211.38,75876.81,6.26,5.67,1910
69,11/3/2017,571,68318.52,66128.14,6.01,5.56,2085
70,12/3/2017,423,55587.44,73259.54,6.18,5.15,1650
71,13/03/2017,694,90672.04,62343.22,5.57,5.71,2587
72,14/03/2017,594,75239.23,76614.26,5.44,5.63,1969
73,15/03/2017,621,79913.22,77487.84,5.58,5.27,2705
74,16/03/2017,567,72569.33,68367.91,5.07,5.58,1853
75,17/03/2017,608,75178.14,70005.12,5.84,5.6,2281
76,18/03/2017,675,84943.22,72770.46,5.05,5.59,1963
77,19/03/2017,552,71734.37,65065.42,5.4,5.57,2086
78,20/03/2017,798,96433.03,68119.96,5.14,5.52,3175
79,21/03/2017,542,69698.08,77141.73,5.29,5.65,2034
80,22/03/2017,645,77941.36,60600.38,4.82,5.6,2394
81,23/03/2017,613,76769.73,77446.91,4.9,5.19,2086
82,24/03/2017,613,77840.72,71498.91,5.65,5.54,2242
83,25/03/2017,664,78800.4,71224.87,5.28,5.72,2664
84,26/03/2017,683,83788.04,76430.67,6.31,5.58,2511
85,27/03/2017,656,82323.27,74846.52,5.97,5.66,2608
86,28/03/2017,638,81361.05,72798.54,5.22,5.57,2344
87,29/03/2017,528,64847.96,87523.43,5.37,5.43,2052
88,30/03/2017,498,64492.43,66700.34,5.47,5.42,1641
89,31/03/2017,667,85976.58,76171.02,5.66,5.3,2448
90,1/4/2017,408,52759.55,70507.04,5.61,5.48,1559
91,2/4/2017,707,87294.18,64147.77,5.19,5.66,2511
92,3/4/2017,533,66434.32,75931.81,5.78,5.61,1695
93,4/4/2017,563,69736.82,62220.19,5.87,5.39,2126
94,5/4/2017,780,94323.8,62093.35,6.01,5.23,3043
95,6/4/2017,747,94603.28,73299.95,4.9,5.45,2878
96,7/4/2017,558,63871.28,71477.58,4.75,5.39,2397
97,8/4/2017,473,61217.69,70664.28,5.36,5.25,1991
98,9/4/2017,617,79514.31,74413.65,5.44,5.4,2519
99,10/4/2017,745,90304.14,69535.09,5.09,5.6,2604
100,11/4/2017,494,61507.16,66297.6,5.25,5.62,1901
101,12/4/2017,571,71170.83,71861.17,5.12,5.6,1988
102,13/04/2017,618,78622.58,71848.08,5.95,5.46,1778
103,14/04/2017,570,71293.37,64872.36,5.64,5.37,2401
104,15/04/2017,651,81186.43,75795.68,5.85,5.3,2543
105,16/04/2017,614,78748.09,68308.79,5.17,5.63,2492
106,17/04/2017,644,81844.3,69870.98,5.36,5.57,2744
107,18/04/2017,810,101869.4,70550.33,6.41,5.51,2918
108,19/04/2017,576,69837.13,80147.52,6.25,5.41,2421
109,20/04/2017,585,73043.77,70227.28,5.4,5.67,2200
110,21/04/2017,722,81343.43,66661.79,5.7,5.77,2591
111,22/04/2017,661,82330.45,72528.99,5.53,5.42,2976
112,23/04/2017,487,60570.71,74205.77,5.48,5.6,1997
113,24/04/2017,506,64101.31,71556.99,5.15,5.62,1965
114,25/04/2017,850,99985.14,67742.28,5.32,5.26,3227
115,26/04/2017,587,74391.98,58064.23,5.87,5.1,2330
116,27/04/2017,738,89456.47,76460.96,5.78,5.61,2833
117,28/04/2017,573,71599.53,70347.6,5.41,5.54,1599
118,29/04/2017,658,82096.59,78818.17,6.08,5.35,2358
119,30/04/2017,736,90832.54,65344.34,5.59,5.32,2723
120,1/5/2017,613,71361.75,66278.72,6,5.61,2590
121,2/5/2017,690,81519.04,68619.67,5.32,5.65,2959
122,3/5/2017,654,83371.95,71498.21,5.48,5.33,2096
123,4/5/2017,554,68707.54,65578.7,5.97,5.71,2256
124,5/5/2017,703,88755.73,59582.14,5.39,5.51,2825
125,6/5/2017,550,67867.34,72795.64,6.2,5.34,2057
126,7/5/2017,624,77862.33,68464.73,4.92,5.46,2592
127,8/5/2017,541,68386.85,78459.33,6.27,5.3,2113
128,9/5/2017,587,75755.45,58534.58,4.99,5.58,1901
129,10/5/2017,601,75228.79,67563.2,5.56,5.64,2346
130,11/5/2017,618,80376.49,63190.96,6.26,5.58,2435
131,12/5/2017,534,68259.01,74875.02,5.57,5.55,1941
132,13/05/2017,541,66559.51,73054.15,4.73,5.43,2249
133,14/05/2017,672,77758.38,65611.89,4.93,5.56,2830
134,15/05/2017,498,62507.51,76688.21,5.75,5.34,1698
135,16/05/2017,637,80153.98,72465.24,5.71,5.32,2315
136,17/05/2017,568,72687.78,77425.85,6,5.7,2014
137,18/05/2017,608,76654.66,64909.75,5.72,5.59,2242
138,19/05/2017,531,68581.29,69994.76,5.69,5.47,2029
139,20/05/2017,535,67387.35,72151.31,5.62,5.31,1864
140,21/05/2017,579,71773,62824.65,5.74,5.64,1975
141,22/05/2017,616,72036.31,66111.95,6.09,5.72,1625
142,23/05/2017,616,78666.43,66485.31,5.6,5.49,2381
143,24/05/2017,578,73483.07,66183.27,5.48,5.63,2132
144,25/05/2017,714,88054.53,67693.9,4.81,5.73,2590
145,26/05/2017,678,82943.08,62412.9,5.45,5.55,2683
146,27/05/2017,724,90399.88,64633.58,5.56,5.43,2669
147,28/05/2017,503,66552.52,80185.62,5.24,5.48,1887
148,29/05/2017,570,72297.51,75972.31,5.75,5.42,2331
149,30/05/2017,540,69929.04,78573.16,5.26,5.49,2304
150,31/05/2017,518,66028.51,63219.96,5.43,5.72,2102
151,1/6/2017,535,67993.01,70803.93,5.01,5.67,1793
152,2/6/2017,611,77319.32,68010.61,5.42,5.66,2260
153,3/6/2017,776,88754.78,59304.63,5.91,5.04,3080
154,4/6/2017,690,86834.44,72012.34,5.16,5.67,2708
155,5/6/2017,631,80114.65,64069.4,5.31,5.44,2136
156,6/6/2017,834,97807.54,71673.93,5.68,5.57,2934
157,7/6/2017,684,87015.59,83817.89,5.91,5.45,2879
158,8/6/2017,675,85530.5,76731.68,5.69,5.63,2494
159,9/6/2017,743,85493.59,72636.62,6.57,5.64,3075
160,10/6/2017,715,87490.82,70051.36,6.03,5.26,3009
161,11/6/2017,755,93790.52,70111.53,5.04,5.73,2652
162,12/6/2017,656,82664.19,75666.72,4.95,5.81,2314
163,13/06/2017,649,83489.52,66513.14,4.67,5.47,2535
164,14/06/2017,796,93679.99,70042.52,5.31,5.42,2523
165,15/06/2017,574,71913.12,74183.95,4.66,5.99,1877
166,16/06/2017,806,93019.14,74265.75,5.3,5.34,3150
167,17/06/2017,672,82747.49,61498.54,5.43,5.45,2617
168,18/06/2017,843,93054.08,60078.48,5.25,5.34,2928
169,19/06/2017,613,72256.02,71204.02,5.34,5.7,2461
170,20/06/2017,654,80653.09,75104.02,4.88,5.51,2351
171,21/06/2017,605,74358.01,63512.01,5.54,5.34,2526
172,22/06/2017,762,89326.49,65798.71,4.96,5.72,2755
173,23/06/2017,643,79385.66,74242.91,5.97,5.84,2210
174,24/06/2017,631,80055.79,60693.49,5.17,5.47,2241
175,25/06/2017,689,87727.59,59821.19,5.09,5.45,2793
176,26/06/2017,567,71187.76,74108.44,5.91,5.48,2432
177,27/06/2017,705,88911.29,68414.63,5.85,5.36,2915
178,28/06/2017,617,77948.73,69052.36,4.45,5.44,2452
179,29/06/2017,647,80507.13,69516.66,5.45,5.29,2248
180,30/06/2017,565,73904.86,67029.26,5.65,5.48,2309
181,1/7/2017,612,75398.59,80722.03,4.82,5.42,2030
182,2/7/2017,598,73297.32,68165.51,5.98,5.34,2225
183,3/7/2017,550,68239.75,74427.01,4.93,5.28,2109
184,4/7/2017,605,77060.07,68858.99,5.95,5.83,2441
185,5/7/2017,725,81991.36,75410.05,5.24,5.38,2428
186,6/7/2017,668,85880.5,72975.22,5.36,5.33,2532
187,7/7/2017,612,76817.03,72085.28,5.36,5.55,2368
188,8/7/2017,609,79724.87,73198.23,5.65,5.6,2913
189,9/7/2017,681,81201.53,72645.13,6.44,5.43,2757
190,10/7/2017,868,108674.08,59586.38,5.41,5.49,2661
191,11/7/2017,768,94219.98,64793.81,5.35,5.51,3322
192,12/7/2017,500,64262.99,62130.95,4.33,5.55,1743
193,13/07/2017,578,74241.33,62162.98,5.89,5.41,2301
194,14/07/2017,644,84166.5,70007.65,5.68,5.3,2526
195,15/07/2017,553,68153.25,64096.04,4.93,5.5,2314
196,16/07/2017,752,94894.81,77855.43,5.74,5.6,2926
197,17/07/2017,744,91639.24,80138.74,5.48,5.61,2955
198,18/07/2017,638,78641.11,66551.83,5.65,5.48,2416
199,19/07/2017,906,104265.74,73771.18,4.58,5.59,3187
200,20/07/2017,624,78588.16,63531.56,5.21,5.83,2182
201,21/07/2017,621,77020.88,78734.89,5.35,5.69,2336
202,22/07/2017,853,99962.8,67541.21,5.42,5.37,2934
203,23/07/2017,605,74010.22,71342.16,5.16,5.52,2279
204,24/07/2017,596,75045.49,63973.14,5.11,5.5,2516
205,25/07/2017,763,95149.04,69008.62,6.27,5.46,2703
206,26/07/2017,801,101053.89,66498.17,5.18,5.46,2721
